datum,,hex,,,,leg curls,,,,leg ext,,,,calv raises ,,,bauch,,,,
,,1.,2.,3.,,1.,2.,3.,,1.,2.,3.,,1.,2.,,1.,2.,,,
11.03.25,,wa: 90/8,120/8,130/8,liegend,75/8,"77,5/8",,,90/8,95/8,100/8,stehend,130/8,140/9,,"47,5/8",50/9,,,
20.04.25,,wa:100/8,120/8,130/8,,"77,5/8",80/8,,,95/8,105/8,,,140/8,150/8,,50/8,55/8,,,
19.05.2025,,100/8,120/8,140/8,,80/8,85/7,,,100/8,105/8 1rir ,,sitz,60/9,60/8,,55/8,"57,5/8 0rir ",,,
20.06.25,,120/8,140/8,145/6,,80/8,85/8,,,100/8,"100/7,5",,,150/8,160/,,50/8,55/,,,
10.07.25,,120/8,140/8,140/8,sitzen,80/8,,,,,,,,150/8,160/8 1rir,,,,,,
21.07.25,,120/8,140/8,150/8,liegend,80/8,"85/6,5",,,100/8,100/8,,,,,,,,,,
22.08.25,,140/8,150/8,155/5 2 rir,sitzend,80/8,"87,5/7,5",,,95/8,100/8,,,155/8,160/,,,,,,
01.10.25,,140/8,140/8 1rir ,,liegend,80/8,85/8 1rir ,,komische maschiene,90/8,100/7,,,150/8,"160/7,5",rdl,40/8,60/8,,,
05.10.25,Noch muskelkater,140/8,140/8,,einseitige,40/8,45/8,,,100/8,100/8 0rir ,,,160/8,160/8,back ext,15s/8,,,,
09.10.25,,140/8,150/8 1rir ,,,45/8,"47,5/8",,einseitige ding,50/8,"52,5/8 1rir ",,,165/8,165/7,back ext ,15s/8,25s/8,,,
14.10 25,,145/8,150/8 1rir ,,,"47,5/8",50/8,,,"52,5/8","52,5/",,,165/8,165/8,,,,,,
22.10.25,,wa: 100,140/8,150/8 1rir ,normal,80/8,85/8,,,105/8,105/8,,,170/8,170/8,,,,,,
26.10.25,Als 3.,130/8,140/8,,liegend,85/8,"87,5/8 0rir ",,,100/8,105/9,,,175/8,175/7,,,,,,
05.11.25,,140/8,150/8,,,"87,5/8","87,5/8 0rir ",,,110/8,115/7,,,175/8,175/7,,,,,,
09.11.25,,100/8,140/8,150/8 2rir,sitzend,85/8,"85/7,5",,,115/8,115/8 0rir ,,,175/8,175/8 1rir ,,,,,,
13.11.25,,150/8,150/8 1rir ,,,90/8,90/8 1rir ,,einseitige,"57,5/8","57,5/4",Knie schmerzen ,,175/8,"177,5/8 1rir ",,,,,,
17.11.25,,150/8,155/8 geht noch was,,,"92,5/8","92,5/6",,,115/8,115/8 0rir ,,sitzen,75/8,80/,,,,,,
21.11.25,,150/8,150/8 1rir ,,,"92,5/8","92,5/6",,,115/,,,,"177,5/8","177,5/8 1rir ",,,,,,
25.11.25,,155/8,155/8 1rir ,,,"92,5/8","92,5/8 0rir ",,,"117,5/8","117,5/8 1rir ",,,180/8,180/8,,,,,,
29.11.25,,155/8,160/8 1rir ,,sitzend,"87,5/8","90/6,5",,alternating one side,"57,5/8","57,5/7",,,180/8,180/8 0rir ,,,,,,
03.12 25,,160/8,160/8 0rir ,,,"92,5/8","92,5/7,5",,,"57,5/8","57,5/",,,180/8,180/8 0rir ,,,,,,
07.12.25,Gestern 14km lauf,155/8,155/8 1rir ,,Sitzend,wa:65,90/8,90/8 1rir ,,"57,5/8","57,5/7",,sitzen,75/8,75/8,,,,,,
11.12.25,,160/8,160/8 1rir ,,,wa:65,"92,5/8","92,5/5,5",,"57,5/8","57,5/8 1rir ",,,"77,5/8","77,5/8 1rir ",,,,,,
15.11 25,carb loaded,160/8,165/8 1rir ,,liegend,wa:70,"92,5/8",95/6,,60/8,60/8 1rir ,,stehen ,180/8,180/8 1rir ,,,,,,
19.12.25,,160/8,165/8 1rir ,,,wa:70,95/8,95/6,,60/8,60/8 0rir ,,,180/8,180/8,,,,,,
23.12.25,smith,95/8,100/8,,,wa:70,95/8,95/5,,60/8,60/8 0rir ,,sitzen ,75/8,75/8,,,,,,
Ende Diät ,,,,,,,,,,,,,,,,,,,,,
27.12.25,,160/8,165/8 2rir,,,wa:75,95/8,"95/6,5",,60/8,"62,5/7,5",,,180/8,180/8,,,,,,
31.12.25,,160/8,170/5,,,wa:75,"97,5/8","97,5/5",,"62,5/8",65/6,,,185/8,185/8,,,,,,
04.01.26,,165/8,170/5,,,wa:75,"97,5/8","97,5/5",,65/8,65/7,,,185/,,,,,,,
08.01.26,,170/8,170/7,,,wa:75,"97,5/8","97,5/6",,"67,5/8","67,5/5",,,185/8,190/8 0rir ,,,,,,
12.01.26,,170/8,170/8,,,"wa:72,5","97,5/8","97,5/6",,"67,5/8","67,5/6",,,190/,,,,,,,
16.01.26,,"172,5/8","172,5/6",,,wa:75,100/7,100/5,,"67,5/8","67,5/6,5",,,190/8,"195/7,5",,,,,,
