datum,,pullups,,,,rows wide grip,,,,lat pd,,,,bi curls(preacher),,,,facepulls,,,back ext,,
,,1.,2.,3.,,1.,2.,3.,,1.,2.,3.,,1.,2.,3.,,1.,2.,,1.,2.,
06.03.25,,bw/8,kl kette/8,kl/8,,70/8,70/8,70/7,,"65/7,5","60/7,5","60/7,5",single arm fw,14/7,14/6,,seated,40/8,40/7,,25/8,25/8,
10.03.25,,bw/8,gr/8,gr/8,,75/8,80/7,75/7,,65/8,"70/6,5","65/6,5",cable bi curls,60/8,65/7,60/8,standing,75/8,65/8,,,,
15.03.25,,bw/8,gr/8,"gr+kl/6,5",,80/8,80/8,80/7,,"70/7,5",65/8,65/7,,65/8,65/8,65/6,,70/8,75/8,,,,
19.03.25,,bw/8,gr/8,gr+kl/7,,80/8,80/8,80/8,,65/8,70/8,"75/8,5",,70/8,70/7,65/7,,75/8,75/8,,30/8,30/8,
26.03.25,,bw/8,bw/8,gr/8,gr+kl/7,80/8,85/7,85/6,,75/4,65/8,65/8,,65/8,70/6,,,75/8,75/8,,,,
31.03.25,,bw/8,gr/8,"gr+kl/7,5",,80/8,85/8,85/7,,70/8,70/8,75/7,,70/8,70/7,70/6,,75/8,75/8,,35/8,,
09.04.25,,klettern,,,,,,,,,,,,,,,,,,,,,
12.04.25,,gr/8,gr/8,gr/7,,80/8,80/8,75/8,,70/8,70/8,70/8,preacher,40/8,40/6,,,80/8,80/7,,,,
15.04.25,,bw/8,2gr/7,2gr/6,,80/8,80/8,80/8,,75/7,75/5,"75/4,5",cable bi,65/8,"72,5/6","72,5/5",reverse fly,65/8,"70/7,5",,,,
19.04.25,,bw/8,2gr/8,2gr/6,Mit zughilfen ,85/8,90/8 0 rir,,,75/8 0rir,75/7,,,"72,5/7","72,5/6",,,"82,5/8","82,5/7",,,,
23.04.25,,kl/8,kl/8,kl/8,,90/8,90/7,,long range part.,75/8,75/7,,Neuer turm,"72,5/8","72,5/6",,Neuer turm,"87,5/9","87,5/7",,,,
28.04 25,,gr/8,gr+kl/8,gr+kl/7,,90/8,90/8 (nicht mehr machen),,,75/8,75/8(letzten 3 partials),,,"72,5/7","72,5/6",,,"82,5/8","87,5/8",,35/8,40/10,
03.05.25,,gr/8 ,gr+kl/8,gr+kl/8,,90/8,90/7,,,75//8,75/8 letzter partial,,,"72,5/8","72,5/6",,,"82,5/8","82,5/8",,40/8,50/7,
08.08.25,,gr/8,gr+kl/8,gr+kl/8,,90/8,95/5,,,75/8,80/8,80/7,preacher,45/8,50/8 0rir ,,,"87,5/8",,,,,
13.05.25,,gr+kl/8,gr+kl/8,gr+kl/8,,90/8,"95/6,5",,,80/7,80/6,,,50/8,"50/5,5",,reverse fly,70/8,70/8 0rir ,,,,
18.05,,kl/8,kl/8,kl/8,maschine,85/8,"87,5/7,5",,,80/8,80/6,,,50/6,45/7,,,85/8,,,,,
28 05 25,,gr/8,gr/8,gr+kl/8,,"87,5/8","90/6,5",,,80/6,75/8 0rir,,kabel,70/8,"72,5/5",,,85/8,"85/7,5",,,,
03.06.25,,8,8,8,,90/8,90/7,,,80/8,80/6,,,,,,reverse fly,"67,5/8",70/6,,40/8,40/8 1rir ,
08.06.25,,gr/8,gr/8,gr/8,,90/8,90/7,,,"80/5,5","75/7,5",,,"72,5/7,5","72,5/7",,reverse fly,70/8,70/7,bauch ,55/7,,
11.06.25,,2kl/8,2kl/8,2kl/8 0rir ,,90/8,"90/7,5",,,"80/5,5","75/7,5",,preacher,"50/7,5",50/6,,cable,80/8,85/7,bauch,55/7,50/6,
14.06.25,,kl/8,kl/8,kl/8,,90/8,95/6,,,80/8,80/5,,,50/8,50/6,,reverse fly ,"72,5/8","75/5,5",,,,
18.06.25,,gr+kl/8,gr+kl/8,gr+kl/8 1rir ,,90/8,95/6,,,80/8,"82,5/6,5",,,50/8,"50/6,5",,,75/8,75/7,u rücken,40/8,40/8,
23.06.25,,gr/8,gr/8,gr/8,maschine,90/8,95/8,,,80/8,"82,5/7",,,50/8,"50/6,5",,fly,75/8,75/,,,,
27.06.25,,2gr/8,2gr/8,2gr/5,kabel,90/8,"90/6,5",,,80/7,75/7,,,,,,,75/7,75/6,,,,
01.07.25,,gr/8,gr/8,gr/8,,90/8,90/7,,,80/7,"75/7,5",,,50/6,45/,,,75/,,,,,
09.07.25,,gr/8,gr+kl/8,gr+kl/6,,90/8,"90/7,5",,,"75/7,5","75/6,5",,dumbell,20/6,18/8,,cable,80/8,80/8,,,,
14.07.25,,gr/8,gr/8,gr/8,,90/8,90/8,,,70/8,"80/6,5",,,18/8,18/8,,,85/8,85/8 0rir,,,,
19.07.25,,2gr/8,2gr/8,,maschine,"82,5/8","90/7,5",,,80/8,80/6,,,50/8,50/6,,fly,75/8,75/,,,,
23.07.25,,gr+kl/8,gr+kl/8,,kabel,90/8,90/8,,,80/8,80/8 0rir ,,db,20/8,20/6,,,75/,,,,,
31.07.25,,gr/8,gr/8,gr/8,,90/8,90/8 0rir ,,,80/6,75/8,,,50/8,"50/6,5",,,75/8,75/8 1rir ,,,,
18.08.25,,bw/8,gr/8,gr/8,,85/8,90/7,,,75/8,75/8 1rir ,,,50/7,45/8 0rir ,,,75/,,,,,
24.08.25,,gr/8,gr/8,gr/8,,90/8,90/8 1rir ,,Am seil,65/8,"72,5/8",,,50/8,50/7,,,"77,5/8","77,5/7",,,,
29.08.25,,gr/8,2gr/,2gr/6,,90/8,90/8 0rir ,,,80/8,"85/6,5",,,20s/8,20s/6,,,"77,5/",,,,,
30.09.25,,bw/8,gr/8,gr/8,,80/8,85/8,,pullover,70/8,70/8,,,18s/8,20s/6,,,"72,5/7","67,5/7",,,,
04.10.25,,kl/8,kl/8,kl/8,,90/8,90/5,,pullover ,80/8,80/7,,,20a/8,"20s/4,5",,,"72,5/8",75/6,,,,
08.10.25,,gr/8,gr+kl/8,gr+kl/5,,85/8,"90/7,5",,pullover ,85/8,85/7,,,20s/8,20s/6,,,75/8,75/,,,,
13.10.25,,gr/8,"2gr/6,5",2gr/5,,90/8,90/7,,pullover ,"90/7,5","90/6,5",,,20s/8,20s/8 0rir ,,,75/8,75/7,,,,
17.10.25,,gr/8,2gr/7,2gr/6,,90/8,90/7,,pullover ,90/8,"90/6,5",,,20s/8,20s/8 0rir ,,,75/8,"77,5/",,,,
21.10.25,,gr/8,gr/8,gr/8,,90/8,"90/7,5",,,90/8,90/8,,,20s/8,20s/8 1rir ,,,"77,5/8","77,5/7",,,,
25.10 25,,gr/8,gr/8,"gr+kl/6,5",,90/8,90/8 1rir ,,,95/8,95/6,,,22s/8,22s/5,,facepull,85/8,85/8 0rir ,,,,
29.10.25,,gr+kl/8,gr+kl/8,gr+kl/7,,95/7,95/6,,,95/8,95/5,,,22s/8,22s/5,,,"77,5/8","77,5/6",,,,
04.11.25,,bw/8,kl/8,kl/8,,95/8,95/6,,,95/8,95/5,,stehen ,18s/8,22s/5,,,"77,5/8","77,5/6",,,,
08.11.25,,gr/8,gr+kl/8,gr+kl/8 0rir ,,95/8,"95/5,5",,,95/8,"95/5,5",,,22s/8,22a/5,,facepulls ,"87,5/8","87, 5/",,,,
12.11.25,,bw/8,bw/8,,,95/8,"95/7,5",,,95/8,"95/6,5",,,22s/6,22s/5,,facepulls ,"87,5/8","87,5/6",,,,
16.11.25,,bw/8,gr+kl/8,gr+kl/7,,95/8,"95/7,5",,,95/8,95/7,,,22s/8,22s/6,,,"77,5/8","77,5/7",,,,
20.11.25,pulldowns,85/8,"90/7,5",,,95/8,95/7,,,,,,stehen,"22s/4,5",18s/8,,,"77,5/8",80/,,,,
24.11.25,pds,90/8,"90/5,5",,,95/8,95/7,,,,,,preacher ,"52,5/8","52,5/6",,,80/,,,,,
28.11.25,,90/8,90/6,,,95/8,"95/7,5",,,,,,,55/8,"55/5,5",,,"87,5/8","87,5/7",,,,
02.12.25,,90/8,"90/6,5","85/6,5",,95/8,95/8 0rir ,,,,,,kabel einarm,40/7,35/8 1rir ,,facepulls,85/8,"87,5/7",,,,
06.12.25,,wa:70,90/8,"90/7,5",,95/8,"97,5/7,5",,,,,,preacher ,"55/6,5","55/5,5",,reverse fly,80/8,"82,5/6,5",,deadlift ,100/8,130/5
10.12.25,,wa:70,90/7,"85/5,5",,95/8,95/7,,,,,,,"55/6,5",55/5,,,"82,5/8","82,5/",,,,
14.12.25,,wa:70,"90/6,5",85/7,,95/8,"95,7,5",,,,,,,"55/6,5",55/6,,,"82,5/8","82,5/7,5",,,,
18.12.25,,wa:70,90/8,90/6,,95/8,"95/7,5",,,,,,sitze ,20s/8,20s/8 1rir ,20s/7,,"82,5/8","85/6,5",,,,
22.12.25,,wa:70,"90/7,5","90/5,5",,95/8,"95/6,5",,,,,,,"22s/6,5",22s/5,,,"82,5/8","85/6,5",,pullups,,
Ende Diät ,,,,,,,,,,,,,,,,,,,,,,,
26.12 25,,wa:70,90/8,"90/6,5",neu,90/8,100/7,,,,,,alternating,22s/7,22s/6,,,85/8,"87,5/6,5",,,,
30.12.25,,wa:70,"92,5/7,5","92,5/6,5",,"97,5/8","97,5/6,5",,,,,,same,22s/8,22s/6,,,"87,5/",,,,,
03.01.26,,wa:75,95/8,"95/6,5",,"100/7,5","100/5,5 ",,,,,,,22s/8,22s/5,,,90/8,"90/7,5",,back ext,40/8,40/8 2rir
07.01.26,,wa:75,95/8,"95/6,75",,"100/7,5",100/6,,,,,,preacher,55/8,"57,5/4,5",,seated facepull,60/6,50/,,,,
11.01.26,,wa:70,"100/6,5",100/5,lat griff,100/8,"100/6,5",,,,,,,"57,5/4",55/5,,,90/,,,,,
15.01.26,,wa:75,"100/6,5","100/5,5",,100/8,"100/6,5 ",,,,,,,22s/8,22s/6,,,90/8,"90/6,5",,back ext ,45/8,"45/7,5"
19.01.26,,wa:75,100/7,"100/6,5",lat griff,100/8,100/7,,,,,,,22s/8,22s/6,,facepull,"87,5/8","90/7,5",,back ext,50/8,"50/5,5"
1 Woche krank,noch leichter husten,,,,,,,,,,,,,,,,,,,,,,
28.01.26,,wa:75,"100/6,5","100/4,5",,"100/7,5","100/6,5",,,,,,,55/8,"55/4,5",,reverse fly,90/7,"90/5,5",,,40/8,40/
31.01.26,,wa:75,"100/6,5","95/5,5",,100/7,100/6,,,,,,,55/6,"55/4,5",,,90/8,"90/6,5",,,50/8,50/
03.02.26,,wa:80,100/8,"100/5,5",,"100/7,5",100/6,,,,,,4.,55/8,55/5,,3.,90/8,90/6,,,50/8,50/7
07.02.26,,wa:75,"100/7,5",100/5,,100/8,100/7,,,,,,,"55/7,5",55/5,,,90/8,90/7,,,50/8,50/7
10.02.26,,wa:75,"100/6,5","100/4,5",Neuer turm,100/8,"110/5,5",,,,,,,"55/7,5",55/5,,,90/8,"90/7,5",,,50/8,"50/6,5"
14.02.26,,wa:75,"100/7,5","100/5,5",,"102,5/7,5","100/6,5",,,,,,,55/8,"55/4,5",,,"92,5/8","92,5/6,5",,nicht wegen lauf,,
17.02.26,,wa:75,100/8,"100/6,5",,"102,5/8","102,5/5,5",,,,,,,"57,5/5,5","55/4,5",,,"92,5/8","92,5/6,75",,,50/8,50/7
21.02.26,,wa:80,"102,5/6,5","102,5/4",maschine ,100/8,105/6,,,,,,,"57,5/6,5","57,5/4,5",,,"95/7,5","95/4,5",,,50/8,55/6
25.02.26,,wa:76,"102,5/6,5","102,5/5,5",kelso shrug (nächstes mit wa),105/7,"105/5,5",,,,,,,"57,5/7,5","57,5/4",,,95/8,"95/6,5",,,55/8,55/6
01.03.26,,wa:75,"102,5/7,5","102,5/5,5",kelso shrug,wa:65,90/8,105/6?,,,,,,60/8 1rir,60/5,,,"97,5/7,5","97,5/6,5",,,55/8,"55/6,5"
16.03.26,,wa:75,"102,5/6,5","102,5/4,5",1. kein kelso,100/8,"95/9,5(kelso)",,,,,,,"60/6,5","60/4,5",,,"97,5/8","97,5/5,5",,,55/8,"55/6,5"
20.03.26,,wa:75,"102,5/7","102,5/4,5",kelso ,100/8,105/8 2rir ,,,,,,,60/8 1rir ,60/5,,,100/6,"97,5/5,5",,,60/8,60/7
24.03.26,,wa:75,"105/6,5","105/4,5",kelso,"107,5/8",110/8 1-2rir,,,,,,dbs,24/7,"24/4,5",,,"100/7,5",100/5,,,60/8,"60/8,5"
27.03.26,,wa:75,"105/6,5","105/4,5",kelso ,115/8,"117,5/8 0-1rir",,,,,,,"62,5/6",60/5,,,100/8,"100/6,5",,,,
31.03.26,,wa:75,"105/6,5","105/4,5",kelso,120/8,"122,5/7",,,,,,,"62,5/7,5","62,5/4,5",,,"102,5/7,5","102,5/5,5",,,"65/7,5",65/
05.04.26,,wa:75,"105/6,5","105/4,5",kelso ,125/7,"125/6,5",,,,,,,"62,5/7,5","62,5/4,5",,,"102,5/8 0rir ","102,5/5,5",,,"65/7,5",65/6
09.04.26,,wa:75,"105/6,5","105/5,5",kelso ,125/8 0rir ,"125/6,5",,,,,,,"62,5/7,5","62,5/4,5",,,105/7,105/5,,,"65/7,5","65/6,5"
14.04.26,,wa:75,105/7,"105/5,5",kelso,"127,5/7","127,5/6,5",,,,,,,"62,5/7","62,5/5,5",,,"105/7,5",105/5,,,"65/7,5",65/7
19.04.26,,wa:75,"105/7,25","105/5,5",kelso ,"127,5/7,5","127,5/6,5",,,,,,,"62,5/6,5","62,5/4,5",,,"105/7,5",105/5,,,,
23.04.26,,wa:75,"105/7,5",105/6,kelso,"130/6,5","130/5,5",,,,,,,"62,5/7,5","62,5/5,5",,,"107,5/5,5",105/5,,maschine ,80/8,100/8
27.04.26,,wa:75,"105/7,5","105/5,25",,"130/6,5",130/6,,lat row masch,45/8,50/8 2-3rir,,,65/5,"65/3,5",,,"107,5/5","105/4,5",,,120/8,125/8 2rir
02.05.26,,wa:75,"105/6,5","105/5,5",,130/7,"130/6,5",,,55/8,"57,5/6",,,"65/4,5","65/5,5",,,"107,5/5,5","107,5/",,,130/8,"130/5,5"
05.05.26,,wa:75,"105/6,5","105/5,5",,"130/7,5","130/6,5",,,"57,5/8","57,5/8 1-2rir",,,"62,5/6,5-7","62,5/3",,,"107,5/6,5","107,5/4,5",,,"132,5/8","132,5/7,5"
09.05.26,,wa:75,"105/7,5","105/5,5",,"132,5/6,5","132,5/6,5",,,"60/7,5","60/5,5",,,"65/5,5",65/4,,,"107,5/5",105/7,,,135/8,135/8 1rir 
12.05.26,,wa:75,"107,5/6","107,5/4,5",,"132,5/7","132,5/6,5",,,"62,5/6,5","62,5/5,5",,,"65/6,5",65/4,,,"107,5/6,5","107,5/4,5",,,140/8,"140/10,5"
