datum,,,incline cp,,,,chest fly,,,,,,lat raises,,,,tri pd,,,,bp (maschine),,
,,,1.,2.,3.,,1.,2.,3.,,,,1.,2.,3.,,1.,2.,3.,,1.,2.,3.
05.03.25,,,wa: 40,80/8,85/8,,"67,5/8","67,5/8","67,5/6",,,,"22,5/8",25/7,,,75/8,85/8,85/7,,60/6,60/4 -> 40/4,40/6
09.03.25,,,wa: 50,85/8,"90/8,5",,70/8,"72,5/8",75/8,,,,25/8,25/6,,,85/8,90/7,90/5,shoulderpress,40/8,60/9 2rir,
13.03.25,,,wa: 60,95/8,"97,5/5",,"72,5/8",75/7,75/5,,,,25/8,25/8,,,90/7,"87,5/7","87,5/4",,50/8,50/6,
17.03.25,,incline bp,wa: 50,70/8,70/7,,75/7,"75/7,5",75/7,,,,25/8,25/8,,Neuer kabelturm,"87,5/8",95/6,95/5,,50/8,50/7,
24.03.25,,,wa:60,90/8,95/6,,75/8,80/8,80/7,,,,"26,25/8","26,25/8",,alter,85/8,"86,25/6",85/6,shoulderpress,50/8,60/9 1rir,
29.03.25,,,wa:70,"92,5/8","92,5/5,5",,80/8,"80/6,5",80/5,,,,25/8,25/8,,,85/8,85/7,85/4,,60/7,60/5,
07.04.25,,,wa:80,90/8,"90/5,5",,75/8,75/6,75/5,,,,25/8,"26,25/8",,,"81,25/8",85/8,,,50/7,,
10.04.25,,,wa:70,"92,5/8","92,5/6",,"77,5/8","77,5/8","77,5/8",,,,"26,5/8","26,5/8",,,85/8,"86,25/8",,sp,50/8,70/8,
14.03.25,,,wa:70,"92,5/8","92,5/6",,80/8,80/6,"80/5,5",,,,25/8,25/8,,,85/8,85/8,"87,5/5",,50/8,50/7,
18.03.25,,,wa:70,95/6,95/3...,,"82,5/8","82,5/5,5",,,,,"26,25/8","27,5/7",,one arm overhead,25/8,25/6,,,50/8,50/7,
22.04.25,,smith,60/8,60/6,,,"82,5/8","82,5/6",,,,,"27,5/8","27,5/6,5",,same,25/8,25/8 0rir,,,60/7,70/8 1rir,
26.04.25,linker trizepsansatz schmerz,,wa:80,95/8,,,"82,5/8","82,5/8",,,,,25/8,,,,,,,,,,
02.05.25,,,wa:50,90/8,"92,5/6,5",,80/8,"82,5/6",,,,,25/8,25/8,,,25/8,25/6,,sp,70/8,80/7,
07.05.25,,bp 1 -> smith,wa:60,60+stange/6(nerv geklemmt),,,80/8,"82,5/8",85/8 0rir ,,,,20/8,25/8,,,25/8,"27,5/7",,,,,
12.05.25,,bp 1 to smith,70/8,60/7,50/8 0rir,,"82,5/8","85/6,5","85/4,5",,,,"27,5/7",25/8 1rir,,,"27,5/7","25/5,5",,incline fly,25/8,25/7,
16.05.25,,,wa:50,90/8,"92,5/6,5",,"82,5/8","85/6,5",,,,,"27,5/8","27,5/6,5",,,25/8,25/6,,,25/8,25/8 1rir,
22.05.25,,,wa:70,95/8,95/5,,85/8,"85/6,5",,,,,"27,5/8","27,5/7",,,25/8,25/6,,sp,60/8,"75/6,5",
26.05.25,,,wa:70,95/8,"95/5,5",,85/8,"85/6,5",,,,,"27,5/8","28,75/6",,,25/8,25/6,,bench maschine ,50/8,50/7,
,,,,,,,,,,,,,,,,,,,,,,,
05.06.25,,,wa:70,95/8,"95/6,5",,85/8,"85/6,5",,,,,"28,75/8","28,75/7",,,25/8,25/,,,,,
10.06.25,,,wa: 70,95/8,95/6,Nach lat raises,85/8,"87,5/7,5",,,,,25/8,"27,5/",,2. Mit schwerem griff,25/8,25/8 1rir ,,andere maschoen,40/8,40/6,
13.06.25,,,wa:60,95/8,"97,5/6",,"87,5/8",90/6,,,,"28,75/3,5 ->","27,5/5","27,5/8",,,"27,5/8","27,5/7",,sp,70/8,70/8,
17.06.25,,,wa:70,95/8,100/5,,"87,5/8",90/6,,,,,"27,5/8","27,5/8",,,85/6,90/8 0rir ,,incline fly,25/8,25/8 0rir ,
21.06.25,,,wa:60,100/8,100/5,,90/7,90/6,,,,,"27,5/8","27,5/8",,,25/8,25/6,,forearm curl,12/8,12/8,
25.06.25,,,wa:50,100/8,"100/5,5",,"87,5/8","90/5,5",,,,,"27,5/8","27,5/8",,,"27,5/7,5","25/7,5",,,,,
